timestamp;AGC;SNR;latitude;longitude;height;num_satellites;class;constellation_GPS;constellation_Galileo
1725970911064.0;1.56487056108473;0.5760226262286691;;;;;legitimate;0.0;0.0
1725970911064.0;-0.3377139795814923;0.5160861188691052;;;;;legitimate;1.0;0.0
1725970912128.0;1.6080501750756568;0.5760226262286691;;;;;legitimate;0.0;0.0
1725970912128.0;-0.5165231429346465;0.4605688931581724;;;;;legitimate;1.0;0.0
1725970912128.0;-0.5165231429346465;0.3420769039542414;;;;;legitimate;0.0;1.0
1725970913130.0;1.6785414316531284;0.5972904191627076;;;;;legitimate;0.0;0.0
1725970913130.0;-0.18395315655986152;0.5426018087608931;;;;;legitimate;1.0;0.0
1725970913130.0;-0.18395315655986152;0.26551284939170133;;;;;legitimate;0.0;1.0
1725970914136.0;1.618498180583322;0.5972904191627076;;;;;legitimate;0.0;0.0
1725970914136.0;-0.6660671561206433;0.5699461139618004;;;;;legitimate;1.0;0.0
1725970914136.0;-0.6660671561206433;0.04432780287769711;;;;;legitimate;0.0;1.0
1725970915541.0;1.6080501750756568;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970915541.0;-0.3548023979125027;0.5881756507624055;;;;;legitimate;1.0;0.0
1725970915542.0;-0.3548023979125027;0.30219979220291854;;;;;legitimate;0.0;1.0
1725970916541.0;1.56487056108473;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970916541.0;-0.21977658793900878;0.5881756507624055;;;;;legitimate;1.0;0.0
1725970916541.0;-0.21977658793900878;0.30219979220291854;;;;;legitimate;0.0;1.0
1725970917542.0;-0.1297041465806219;0.8525039343711739;;;;;legitimate;1.0;0.0
1725970917543.0;1.6785414316531284;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970917543.0;-0.1297041465806219;0.49520501307932147;;;;;legitimate;1.0;0.0
1725970917543.0;-0.1297041465806219;0.5547548332946296;;;;;legitimate;0.0;1.0
1725970917544.0;-0.1297041465806219;0.12939897461385313;;;;;legitimate;0.0;1.0
1725970918546.0;-0.3045691914568961;0.5972904191627076;;;;;legitimate;1.0;0.0
1725970918547.0;1.4131068330339487;0.023060009943658553;;;;;legitimate;0.0;0.0
1725970918547.0;-0.3045691914568961;0.4696836615584745;;;;;legitimate;0.0;1.0
1725970919532.0;1.4263365065367246;0.023060009943658553;;;;;legitimate;0.0;0.0
1725970919532.0;-0.5378287313276565;0.5972904191627076;;;;;legitimate;1.0;0.0
1725970919533.0;-0.5378287313276565;0.4696836615584745;;;;;legitimate;0.0;1.0
1725970920530.0;1.6080501750756568;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970920530.0;-0.5597027569255726;0.5972904191627076;;;;;legitimate;1.0;0.0
1725970920531.0;-0.5597027569255726;0.46117654438485856;;;;;legitimate;0.0;1.0
1725970921537.0;1.483362861794688;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970921537.0;-0.5378287313276565;0.5881756507624055;;;;;legitimate;1.0;0.0
1725970921537.0;-0.5378287313276565;0.4526694272112435;;;;;legitimate;0.0;1.0
1725970922535.0;1.495514738011609;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970922535.0;-0.42695609916718685;0.5790608823621025;;;;;legitimate;1.0;0.0
1725970922535.0;-0.42695609916718685;0.43565519286401244;;;;;legitimate;0.0;1.0
1725970923539.0;1.56487056108473;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970923539.0;-0.5597027569255726;0.5608313455614983;;;;;legitimate;1.0;0.0
1725970923540.0;-0.5597027569255726;0.4271480756903965;;;;;legitimate;0.0;1.0
1725970924524.0;1.3579453696706616;-0.10454674766057458;;;;;legitimate;0.0;0.0
1725970924524.0;-0.48556817088649135;0.5426018087608931;;;;;legitimate;1.0;0.0
1725970924524.0;-0.48556817088649135;0.4271480756903965;;;;;legitimate;0.0;1.0
1725970925538.0;1.7697709200978007;-0.04074336885845801;;;;;legitimate;0.0;0.0
1725970925538.0;-0.24960585259468515;0.533487040360591;;;;;legitimate;1.0;0.0
